Part,Operator,Trial,Thickness_nm
P01,Alice,1,113.358
P01,Alice,2,112.171
P01,Alice,3,110.329
P01,Bob,1,114.341
P01,Bob,2,114.912
P01,Bob,3,112.623
P01,Chen,1,114.939
P01,Chen,2,113.048
P01,Chen,3,112.587
P02,Alice,1,99.549
P02,Alice,2,102.108
P02,Alice,3,101.839
P02,Bob,1,101.866
P02,Bob,2,100.16
P02,Bob,3,101.971
P02,Chen,1,100.485
P02,Chen,2,102.197
P02,Chen,3,101.026
P03,Alice,1,101.037
P03,Alice,2,101.084
P03,Alice,3,99.534
P03,Bob,1,100.551
P03,Bob,2,102.157
P03,Bob,3,101.232
P03,Chen,1,103.529
P03,Chen,2,103.882
P03,Chen,3,101.147
P04,Alice,1,95.052
P04,Alice,2,96.39
P04,Alice,3,98.504
P04,Bob,1,96.47
P04,Bob,2,97.753
P04,Bob,3,95.601
P04,Chen,1,96.742
P04,Chen,2,98.131
P04,Chen,3,97.403
P05,Alice,1,107.59
P05,Alice,2,107.213
P05,Alice,3,107.073
P05,Bob,1,107.751
P05,Bob,2,109.156
P05,Bob,3,107.719
P05,Chen,1,109.044
P05,Chen,2,107.915
P05,Chen,3,108.272
P06,Alice,1,92.202
P06,Alice,2,91.175
P06,Alice,3,92.847
P06,Bob,1,94.067
P06,Bob,2,93.49
P06,Bob,3,94.509
P06,Chen,1,93.565
P06,Chen,2,92.97
P06,Chen,3,92.888
P07,Alice,1,97.509
P07,Alice,2,96.025
P07,Alice,3,96.857
P07,Bob,1,96.134
P07,Bob,2,96.676
P07,Bob,3,97.517
P07,Chen,1,99.014
P07,Chen,2,96.865
P07,Chen,3,96.478
P08,Alice,1,99.102
P08,Alice,2,99.266
P08,Alice,3,98.677
P08,Bob,1,101.028
P08,Bob,2,98.089
P08,Bob,3,98.983
P08,Chen,1,100.207
P08,Chen,2,99.329
P08,Chen,3,100.54
P09,Alice,1,98.511
P09,Alice,2,98.257
P09,Alice,3,100.917
P09,Bob,1,98.214
P09,Bob,2,98.943
P09,Bob,3,99.695
P09,Chen,1,98.853
P09,Chen,2,99.741
P09,Chen,3,100.46
P10,Alice,1,96.069
P10,Alice,2,96.595
P10,Alice,3,95.477
P10,Bob,1,96.291
P10,Bob,2,98.476
P10,Bob,3,97.027
P10,Chen,1,97.921
P10,Chen,2,96.301
P10,Chen,3,96.736
